manufacturer,releaseyear,memsize,gpuclock,memclock,unifiedshader,tmu,rop,g3dmark,g2dmark,tdp,powerperformance,performance_per_watt,performance_per_gb,performance_per_shader,gpu_age,performance_category
0,2017.0,16.0,875,1753.0,2880.0,240,48,12402,836,65.0,19.155,19.155714285714286,775.125,4.30625,9.0,0
0,2017.0,8.0,705,1750.0,2880.0,240,48,12386,860,65.0,19.155,19.155714285714286,1548.25,4.300694444444445,9.0,0
0,2017.0,16.0,745,1502.0,2880.0,240,48,10498,601,65.0,19.155,19.155714285714286,656.125,3.645138888888889,9.0,0
2,2017.0,12.0,706,1300.0,2496.0,208,40,19508,992,250.0,78.03,78.032,1625.6666666666667,7.815705128205129,9.0,0
2,2017.0,11.0,950,1500.0,2048.0,128,32,18284,934,250.0,73.14,73.136,1662.1818181818182,8.927734375,9.0,0
0,2017.0,8.0,1046,1753.0,1536.0,128,32,8907,772,185.0,48.14,48.14594594594595,1113.375,5.798828125,9.0,0
0,2017.0,8.0,1455,1500.0,1536.0,96,48,7753,943,65.0,19.155,19.155714285714286,969.125,5.047526041666667,9.0,0
0,2017.0,4.0,1500,1500.0,1536.0,96,48,6337,697,65.0,19.155,19.155714285714286,1584.25,4.125651041666667,9.0,0
2,2017.0,8.0,706,1350.0,1536.0,128,32,11422,820,105.0,108.78,108.7809523809524,1427.75,7.436197916666667,9.0,0
2,2017.0,4.0,706,1350.0,1536.0,128,32,4450,114,65.0,19.155,19.155714285714286,1112.5,2.8971354166666665,9.0,0
2,2017.0,8.0,930,1253.0,1536.0,96,64,14500,877,180.0,80.56,80.55555555555556,1812.5,9.440104166666666,9.0,0
2,2017.0,6.0,675,1000.0,512.0,32,16,5967,339,65.0,19.155,19.155714285714286,994.5,11.654296875,9.0,0
2,2017.0,3.0,980,1000.0,512.0,32,16,2402,104,65.0,19.155,19.155714285714286,800.6666666666666,4.69140625,9.0,0
2,2017.0,5.0,500,800.0,480.0,24,8,7096,692,75.0,94.61,94.61333333333332,1419.2,14.783333333333331,9.0,0
0,2017.0,4.0,955,900.0,384.0,24,8,3594,506,80.0,44.92,44.925,898.5,9.359375,9.0,0
0,2017.0,2.0,200,900.0,384.0,24,8,2718,484,50.0,54.35,54.36,1359.0,7.078125,9.0,0
0,2017.0,4.0,300,900.0,384.0,48,6,2627,491,50.0,52.54,52.54,656.75,6.841145833333333,9.0,0
0,2017.0,4.0,554,900.0,384.0,24,8,3475,724,65.0,19.155,19.155714285714286,868.75,9.049479166666666,9.0,0
0,2017.0,2.0,900,900.0,384.0,24,8,3141,659,65.0,19.155,19.155714285714286,1570.5,8.1796875,9.0,0
2,2017.0,2.0,533,900.0,384.0,24,8,3324,482,40.0,83.11,83.1,1662.0,8.65625,9.0,0
2,2017.0,4.0,300,900.0,384.0,48,6,4466,659,47.0,95.02,95.02127659574468,1116.5,11.630208333333334,9.0,0
0,2017.0,2.0,380,900.0,40.0,4,4,1755,398,35.0,50.15,50.142857142857146,877.5,43.875,9.0,1
0,2017.0,2.0,400,900.0,40.0,4,4,1959,501,65.0,19.155,19.155714285714286,979.5,48.975,9.0,1
2,2017.0,2.0,800,950.0,40.0,4,4,1614,427,30.0,53.8,53.8,807.0,40.35,9.0,1
2,2017.0,2.0,650,800.0,40.0,4,4,2310,218,25.0,92.41,92.4,1155.0,57.75,9.0,1
2,2017.0,2.0,600,700.0,40.0,4,4,2310,218,25.0,92.41,92.4,1155.0,57.75,9.0,1
2,2017.0,2.0,600,500.0,40.0,4,4,1895,195,65.0,19.155,19.155714285714286,947.5,47.375,9.0,1
